1.09.2010,31.07.2010,30.06.2010,1.06.2010,1.05.2010,1.04.2010,4.03.2010,4.02.2010,2.01.2010,2.12.2009,3.11.2009,2.10.2009,2.09.2009,3.08.2009,1.07.2009,1.06.2009,5.05.2009,1.04.2009,3.03.2009,2.02.2009,2.01.2009
9.41,9.41,9.41,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.38,9.38,9.38,9.38,9.38,9.37,9.35,9.35,9.34,9.33
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5392,5324,5217.5,5070.1,5048.6,5024.5,4996,4973.1,4935.2,4893.5,4876.5,4849.7,4829.1,4827,4824.8,4787,4707.2,4669.4,4645.3,4604.6,4549.9
8437.74,8437.74,8437.74,8437.61,8400.05,8190.61,7980.88,7773.07,7522.39,7317.86,7124.46,6888.84,6873.74,6873.74,6873.74,6873.74,6772.99,6542,6323.51,6094.89,5836.4
109.15,107.67,106.44,104.54,102.75,101.17,99.65,98.71,96.29,95.19,93.95,92.94,91.87,89.62,87.92,86.74,84.86,83.03,82.05,80.11,79.3
321.01,320.18,319.46,318.16,317.15,315.9,314.55,313.5,311.6,310.23,309.01,308.03,306.98,305.69,304.77,303.87,302.76,301.65,300.819,299.05,298.3
,,,,,,,,,,,,,,,,,,,271.9,271.9
,,,,,,,,,,,,,,,,,,,,
5059.6,4975,4898.8,4808.6,4727.1,4638.4,4545.1,4488.4,4383.9,4305,4136.4,4077.9,3993.1,3905.7,3788.9,3686.7,3640.5,3577.7,3530.2,3452.5,3404.1
